"","sentiment.score","Country","Block","Q.E.If.you.selected.Yes.in.QD..please.specify","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"6",0.5,"Pakistan",2,"Because it was rumored that this was all true",0,0,0,0,0,0,0,0,0,0
"15",0.5,"Bangladesh",2,"We should not take vaccine",2,0,1,0,0,1,0,0,2,0
"18",0.5,"Bangladesh",2,"vaccine can be harmful for body",0,0,0,0,0,0,0,0,0,0
"21",0.5,"Bangladesh",2,"I used to believe some of the myths",0,0,0,0,0,0,0,0,0,0
"27",0.5,"Pakistan",2,"Everyone was saying that deaths were happening because of corona that's why.",0,1,0,0,0,0,0,0,0,0
"33",1.1,"Pakistan",2,"I thought that news is true because in today's age of social media most people believe what they see on the internet.",0,0,0,0,0,0,0,0,0,1
"48",0.75,"Bangladesh",2,"Vaccines are not safe",0,0,0,0,1,0,0,1,0,1
"72",0.75,"Bangladesh",2,"Vaccines are not safe",0,0,0,0,1,0,0,1,0,1
